paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Marqués2018,Marqués,2018,Ecological Videogames as a Means to Raise Environmental Awareness,"Proceedings of 1st International Conference on Transdisciplinary Studies in Arts, Technology and Society, ARTeFACTo 2018",2016-2019,,None,,,,,,N,N,N,Y,,
Mckeown2018,Mckeown,2018,"Videogame Ecologies: Interaction, Aesthetics, Affect",dissertation,2016-2019,,None,,,,,,N,N,N,Y,,
Mendes2018,Mendes,2018,Nishikigoi Jump: padrões de cores do Pokémon Magikarp e sua relação com as variedades de carpas koi,A Bruxa,2016-2019,,Pokémon,,,,,,N,N,Y,,,
Rogers2018,Rogers,2018,Into the Wilds: Influences from Video Games on Our Perception of 'Nature',dissertation,2016-2019,,None,,,,,,N,N,N,,,
Schmidt-Jeffris2018,Schmidt-Jeffris,2018,Gotta Catch’em All! Communicating Entomology with Pokémon,American Entomologist,2016-2019,,Pokémon,,,,,,N,N,Y,Y,,
Truong2018,Truong,2018,Gamers Like It Green: The Significance of Vegetation in Online Gaming,Ecopsychology,2016-2019,,None,,,,,,N,N,N,,,
vanOoijen2018,van Ooijen,2018,The Killability of Fish in The Sims 3: Pets and Stardew Valley,The Computer Games Journal,2016-2019,,StardewValley,,,,,,N,N,N,,,
Vasso2018,Vasso,2018,An environmental critique of American post-apocalypse narratives: Ecocriticism and ethics,dissertation,2016-2019,,None,,,,,,N,N,N,,,
Woolbright2018,Woolbright,2018,Ecofeminism and Gaia Theory in Horizon Zero Dawn,"Trace: A Journal of Writing, Media, and Ecology",2016-2019,,Horizon,,,,,,N,N,N,,,
Youngblood2018,Youngblood,2018,The Endless End of the World: Queering the Eco-Apocalyptic Narrative of Final Fantasy VI,"Trace: A Journal of Writing, Media, and Ecology",2016-2019,,FinalFantasy,,,,,,N,N,N,,,
Bianchi2019,Bianchi,2019,Ecoplay: The rhetorics of games about nature,Mediating Nature: The Role of Technology in Ecological Literacy,2016-2019,,None,,,,,,N,N,N,,,
Chang2019a,Chang,2019,Between Plants and Polygons: SpeedTrees and an Even Speedier History of Digital Morphogenesis,electronic book review,2016-2019,,None,,,,,,N,N,N,Y,,
Chang2019b,Chang,2019,Playing Nature: Ecology in Video Games,Playing Nature: Ecology in Video Games,2016-2019,,None,,,,,,N,N,N,,,
deOliveiraHenrique2019,de Oliveira Henrique,2019,Contribuições da Franquia Pokemón Para o Ensino de Biologia,Pleiades: Literature in Context,2016-2019,,None,,,,,,N,N,N,,,
Deslis2019,Deslis,2019,"Using a Non-educational Mobile Game for Learning in Biology, Geography and Mathematics: Pokémon Go as a Case Study","International Conference on Technology and Innovation in Learning, Teaching and Education",2016-2019,,Pokémon,,,,,,N,N,N,,,
Farca2019,Farca,2019,The Concept of Utopia in Digital Games,Playing Utopia: Futures in Digital Games,2016-2019,,None,,,,,,N,N,N,,,
Fernández-Caro2019,Fernández-Caro,2019,"Post-Apocalyptic Nonhuman Characters in Horizon: Zero Dawn: Animal Machines, Posthumans, and AI-Based Deities",Journal of Science Fiction,2016-2019,,None,,,,,,N,N,N,Y,,
Goulart2019,Goulart,2019,Os fungos em Pokémon,Revista Multidisciplinar de Estudos Nerds/Geek,2016-2019,,Pokémon,,,,,,N,N,N,,,
Haugom2019,Haugom,2019,When Ludology and Narratology Meet: A Comparative Analysis of an Ecofictional Video Game and an Ecofictional Book,dissertation,2016-2019,,None,,,,,,N,N,N,Y,,
Hobbs2019,Hobbs,2019,Science Hunters: Teaching Science Concepts in Schools Using Minecraft,ARISE – The Journal of Action Research and Innovation in Science Education,2016-2019,,Minecraft,,,,,,N,N,N,,B,
Hobin2019,Hobin,2019,Animal Eyes: Meeting the Look of the Video Game Animal,Public,2016-2019,,None,,,,,,N,N,N,,,
Holmes2019,Holmes,2019,Visualizing ecocritical euphoria in Red Dead Redemption 2,Mediating Nature: The Role of Technology in Ecological Literacy,2016-2019,,RDR2,,,,,,N,N,N,,,
Jansen2019,Jansen,2019,The Environment at Play: Confronting Nature in The Elder Scrolls V: Skyrim and the “Frostfall” Ecomod,Press Start,2016-2019,,None,,,,,,N,N,N,Y,,
Lund2019,Lund,2019,Birding Like It’s 1899: Inside a Blockbuster American West Video Game,Audubon,2016-2019,,None,,,,,,N,N,N,,,
Navarro-Remesal2019,Navarro-Remesal,2019,"Pixelated nature: ecocriticism, animals, moral consideration, and degrowth in videogames",Logos,2016-2019,,None,,,,,,N,N,N,Y,,
Newman2019,Newman,2019,Fungal Zombies and Tentacular Thinking: The Cthonic Mother in the Game The Last of Us,Studies in the Fantastic,2016-2019,,LastOfUs,,,,,,N,N,N,,,
Patterson2019,Patterson,2019,Playing for the Planet: How video games can deliver for people and the environment,Playing for the Planet: How video games can deliver for people and the environment,2016-2019,,None,,,,,,N,N,N,,,
Pérez-Latorre2019,Pérez-Latorre,2019,"Post-apocalyptic Games, Heroism and the Great Recession",The international journal of computer game research,2016-2019,,None,,,,,,N,N,N,,,
Salvador2019,Salvador,2019,Pokémollusca: the mollusk-inspired Pokémon,Journal of Geek Studies,2016-2019,,Pokémon,,,,,,N,N,Y,,,
Santry2019,Santry,2019,Pokémon and the Environment,"The Augmented Reality of Pokémon Go: Chronotopes, Moral Panic, and Other Complexities",2016-2019,,Pokémon,,,,,,N,N,N,,,
Sellers2019,Sellers,2019,Pixelated Frontiers: Videogames and the Sublimation of Nature,dissertation,2016-2019,,None,,,,,,N,N,N,Y,,
