paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Zimmermann2022,Zimmermann,2022,Ethical Boredom in the Wilderness,Video Games and Spatiality in American Studies,2020-2022,,None,,,,,,N,N,N,Y,,
Farca2023,Farca,2023,Farming a Cosy Utopia: A Regenerative Escape to Simpler Times,Proceedings of DiGRA 2023,2023-2025,,None,,,,,,N,N,N,Y,,
Gómez-Martínez2023,Gómez-Martínez,2023,"Dark wings, bright insights: a comprehensive analysis of corvid species in Pokémon games",Journal of Geek Studies,2023-2025,,Pokémon,,,,,,N,N,Y,Y,,
Harrington2023,Harrington,2023,Modern Transcendentalist Vision: How Video Game Red Dead Redemption 2 World Builds Visions of America’s Environmental Past and Future,Humanities Core,2023-2025,,RDR2,,,,,,N,N,N,Y,,
HomoLudens2023,Homo Ludens,2023,Saving the Planet One Game at A Time,Proceedings of DiGRA 2023,2023-2025,,None,,,,,,N,N,N,Y,,
Kvist2023,Kvist,2023,A Crisis of the Imagination: Games as a Tool for Visualizing Potential Futures,dissertation,2023-2025,,None,,,,,,N,N,N,Y,,
Sena2023,Sena,2023,Designing Learning Activities in Minecraft for Formal Education in Geography,International Journal of Emerging Technologies in Learning (IJET),2023-2025,,Minecraft,,,,,,N,N,N,Y,,
Bianchi2024a,Bianchi,2024,A Field Guide to Monsters: Practices of Wildlife Watching in Video Games,Ecogames: Playful Perspectives on the Climate Crisis,2023-2025,,None,,,,,,N,N,N,Y,,
Breitling2024,Breitling,2024,Virtual Laboratories: Mesocosms and Gameworlds,Theory of Science,2023-2025,,None,,,,,,N,N,N,Y,,
Cheyne2024,Cheyne,2024,The power of gibbon songs: Going beyond the research to inform conservation actions,American Journal of Primatology,2023-2025,,None,,,,,,N,N,N,Y,,
Clayton2024,Clayton,2024,Virtual Nature and the Future of the Wild,The Heart of the Wild,2023-2025,,None,,,,,,N,N,N,Y,,
Faucher2024,Faucher,2024,Call Me Corvo: Reading Kinship in Dishonored Through the Lens of Moby-Dick,Video Games and Environmental Humanities: Playing to Save The World,2023-2025,,None,,,,,,N,N,N,Y,,
Fizek2024,Fizek,2024,Nature Playing: On the Experience of Contemplating Technologically Mediated Nature within the Game World of Riders Republic,Games and Culture,2023-2025,,None,,,,,,N,N,N,Y,,
Frelik2024,Frelik,2024,Green New Worlds? Ecology and Energy in Planetary Colonization Games,Ecogames: Playful Perspectives on the Climate Crisis,2023-2025,,None,,,,,,N,N,N,Y,,
May2024b,May,2024,Dark Entanglement and Visions of the Post-Anthropocene in Battlefield 2042,Journal of Games Criticism,2023-2025,,None,,,,,,N,N,N,Y,,
May2024d,May,2024,"Capitalocene Horizons: Producing, Exploiting and Mourning Nature in Animal Crossing: New Horizons",Proceedings of DiGRA 2024,2023-2025,,AnimalCrossing,,,,,,N,N,N,Y,,
Mejeur2024,Mejeur,2024,Burning Closets and Nights in the Woods: Queer Environments and Ecological Alliances in Video Games,"Regeneration: Environment, Art, Culture",2023-2025,,None,,,,,,N,N,N,Y,,
Milburn2024,Milburn,2024,Mutate or Die: Neo-Lamarckian Ecogames and Responsible Evolution,Ecogames: Playful Perspectives on the Climate Crisis,2023-2025,,None,,,,,,N,N,N,Y,,
Mukherjee2024,Mukherjee,2024,"No Cyclones in Age of Empires: Empire, Ecology, and Video Games",Ecogames: Playful Perspectives on the Climate Crisis,2023-2025,,None,,,,,,N,N,N,Y,,
SilvaAprile2024,Silva Aprile,2024,Gamificação como metodologia ativa no ensino sobre fungos: uma análise a partir das experiências em Baldur's Gate 3 e The Last of Us,A Bruxa,2023-2025,,LastOfUs,,,,,,N,N,Y,Y,,
