first_author,publication_year,title,publication
"Galloway",2024,"Sounds of Extraction and Collection and Listening to the Pixelated Resources of Stardew Valley and Animal Crossing","Music and Sonic Environments in Video Games: Listening to and Performing Ludic Soundscapes"
"García-Cardona",2022,"La isla como paraíso y el impacto turístico en las islas Baleares: Un estudio a través de la crónica novelada Balearia y del videojuego Alba: A Wildlife Adventure","VISUAL REVIEW: International Visual Culture Review"
"Gericke",2021,"The rise of the wildlife gamer: How game experiences can influence the future of conservation interest","The rise of the wildlife gamer: How game experiences can influence the future of conservation interest"
"Liu",2016,"Pokémon Go能促成新物种的发现？","Science World"
"Gonzales",2025,"Overlapping Expectations: Studying the Genre Relationship of Open-World and Ecocritical Genres","Interactive Storytelling"
"Green",2016,"The Reconstruction of Morality and the Evolution of Naturalism in The Last of Us","Games and Culture"
"Green",2018,"""Here You Are at Last, in a Ruined and Drowning World"": The Dishonored Series as Environmental and Social Commentary","Popular Culture Review"
"Green",2021,"Longing, Ruin, and Connection in Hideo Kojima’s Death Stranding","Longing, Ruin, and Connection in Hideo Kojima’s Death Stranding"
"Guanio-Uluru",2021,"Embodying Environmental Relationship: A Comparative Ecocritical Analysis of Journey and Unravel","Ecozon@"
"Güman",2022,"The Biopolitics of the Colossus","Journal of Arteoloji"
"Harrington",2023,"Modern Transcendentalist Vision: How Video Game Red Dead Redemption 2 World Builds Visions of America’s Environmental Past and Future","Humanities Core"
"Harrison",2024,"Sound and zoonotic spillover: listening to Animal Crossing: New Horizons through the Covid-19 pandemic","Sound Studies: An Interdisciplinary Journal"
"Hartner",2024,"Playing (with) the Post-Apocalypse: Nature, Ruins, and American Retrotopia in The Last of Us (2013)","Anglistik: International Journal of English Studies"
"Hawley",2022,"Young Explorers in Virtual Ecosystems: Environmental Empathy in Animated and Digital Worlds","Environmental Communication for Children: Media, Young Audiences, and the More-Than-Human World"
"Heijmen",2023,"It's Not Always About You: The Subject and Ecological Entanglement in Video Games","Games and Culture"
"Heise",2022,"Grand Theft Eco","Resilience: A Journal of the Environmental Humanities"
"Ho",2024,"Should Animal Crossing be environmentally conscious?","AI & Society"
"Hobin",2019,"Animal Eyes: Meeting the Look of the Video Game Animal","Public"
"Homo Ludens",2023,"Saving the Planet One Game at A Time","Proceedings of DiGRA 2023"
"Hood",2022,"Developing an ecocentric mind-set through exploration and role-play within online virtual worlds","The Ecological Citizen: Confronting human supremacy"
"Hoshina",2012,"Cultural Coleopterology in Modern Japan: The Rhinoceros Beetle in Akihabara Culture","American Entomologist"
"Imbierowicz",2023,"Humanist Delusion in Games","Proceedings of DiGRA 2023"
"Lohne",2020,"Never Alone: A study of articulations of indigenous religion in the video game","dissertation"
"Jansen",2019,"The Environment at Play: Confronting Nature in The Elder Scrolls V: Skyrim and the “Frostfall” Ecomod","Press Start"
"Jørgensen",2022,"Walking and Worlding: Trails as Storylines in Video Games","Pathways: Exploring the Routes of a Movement Heritage"
"Joyce",2024,"Horizon Zero Dawn as Genre-Medium Coevolution","End-Game: Apocalyptic Video Games, Contemporary Society, and Digital Media Culture"
"Kaplan",2008,"Green Reading, Green Gaming: The Future of Ecocriticsm, Storytelling, and Environmental Ethics in Virtual Worlds","Meaningful Play 2008"
"Kaplan",2010,"Greening the Gamescape: How Virtual Game Worlds Can Reflect Real-World Environmental Values","dissertation"
"Kawahara",2007,"Thirty-foot telescoping nets, bug collecting video games, and beetle pests: Entomology in modern Japan","American Entomologist"
"Kinder",2021,"Gaming Extractivism: Indigenous Resurgence, Unjust Infrastructures, and the Politics of Play in Elizabeth LaPensee's Thunderbird Strike","Canadian Journal of Communication"
"King",2022,"The Voice Not from Rivia: Silence, Ecofeminism, and Their Limits in The Witcher Series","dissertation"
"Long",2021,"The gathering storm of progress","Science Fiction Film and Television"
"Kumral",2024,"Adapt and Die: Ecocriticism and the Lovecraftian Sublime in Rainworld, Outer Wilds, Frostpunk, and Factorio","dissertation"
"Laato",2021,"Central Themes of the Pokémon Franchise and why they Appeal to Humans","Proceedings of the 54th Hawaii International Conference on System Sciences"
